la,lo,s,n
54.7054,-1.2155,3,1
54.5655,-1.2465,2,1
54.5216,-1.2125,3,1
54.5554,-0.8946,2,1
54.53,-1.5499,3,1
53.3973,-2.5659,2,1
53.751,-2.4938,2,1
53.7871,-0.3827,3,1
53.7433,-0.3445,3,1
53.7698,-0.2788,2,1
53.7435,-0.3874,2,1
53.7724,-0.2703,2,1
53.9334,-0.7725,3,1
53.8707,-0.3017,2,1
54.1086,-0.455,3,1
53.8295,-0.336,2,1
53.7063,-0.8806,3,1
53.5561,-0.0912,3,1
53.5963,-0.6548,3,1
53.6919,-0.4503,3,1
53.9672,-1.0929,2,1
52.9259,-1.4551,2,1
52.6073,-1.124,3,1
52.9803,-1.1737,3,1
52.9645,-1.1796,3,1
52.9647,-1.1802,3,1
52.9803,-1.207,2,1
52.9143,-1.175,3,1
52.1887,-2.6711,3,1
52.0358,-2.4223,3,1
52.7101,-2.4694,3,1
52.7166,-2.4737,3,1
51.4879,-2.5832,3,1
51.486,-2.5467,3,1
51.4047,-2.5718,3,1
51.4439,-2.6227,3,1
51.4262,-2.5571,3,1
51.4702,-2.5937,3,1
50.4096,-4.1327,3,1
50.3847,-4.1041,3,1
50.373,-4.1674,3,1
50.4693,-3.5343,3,1
50.473,-3.5523,1,1
51.5488,-1.7774,3,1
51.5202,-1.7664,3,1
51.5536,-1.7751,3,1
52.5801,-0.2476,2,1
52.5961,-0.2457,2,1
52.5937,-0.2655,3,1
52.5355,-0.3203,3,1
52.5745,-0.2387,3,1
51.8889,-0.4326,3,1
51.896,-0.4212,2,1
51.544,0.6916,2,1
51.3636,0.5785,3,1
51.3648,0.6104,3,1
51.3873,-0.7723,3,1
51.4523,-1.3089,3,1
51.5056,-0.576,2,1
50.8436,-0.1515,3,1
50.8325,-0.1784,2,1
50.8205,-0.1441,2,1
50.7872,-1.0809,3,1
50.81,-1.0783,3,1
50.8466,-1.0652,3,1
50.9102,-1.4014,3,1
50.9234,-1.4349,3,1
50.9327,-1.446,2,1
50.9338,-1.4184,3,1
54.8193,-1.6284,3,1
53.1823,-2.2027,2,1
53.3385,-2.2059,3,1
53.1074,-2.4418,3,1
53.1537,-2.3295,3,1
53.083,-2.7212,3,1
