la,lo,s
51.5015,-0.2121,3
51.4108,-0.2995,2
51.4747,-0.1108,3
51.4614,-0.1151,3
51.464,-0.1147,3
51.4577,-0.129,3
51.4411,-0.1063,3
51.479,-0.1145,3
51.4564,-0.0146,3
51.4723,-0.0314,3
51.4402,-0.0537,3
51.4139,-0.2023,3
51.5173,0.0216,3
51.5443,0.0288,3
51.5413,0.0228,3
51.5763,0.04,3
51.5605,0.0963,3
51.4289,-0.3242,3
51.4944,-0.085,3
51.4808,-0.0945,3
51.4908,-0.0811,3
51.4516,-0.1011,3
51.4482,-0.0777,2
51.4934,-0.1009,2
51.4892,-0.075,3
51.4859,-0.1084,2
51.3476,-0.206,3
51.3688,-0.1915,3
51.3844,-0.1741,3
51.5138,-0.0144,3
51.5185,-0.0764,3
51.5349,-0.0343,2
51.574,-0.01,3
51.4305,-0.1642,3
51.428,-0.1681,3
51.446,-0.1456,3
51.465,-0.1585,3
51.4444,-0.2348,3
51.4567,-0.201,3
51.5235,-0.1982,3
51.5138,-0.1231,3
51.5024,-0.1521,3
51.5179,-0.1671,3
51.5031,-0.1528,3
52.1966,0.1097,2
52.208,0.1268,3
52.333,-0.0446,3
52.2089,0.0769,3
52.5006,-0.0362,3
52.3591,-0.1599,3
52.9816,-1.4868,3
53.2455,-1.3339,3
53.1552,-1.5818,3
50.7038,-3.5257,3
50.3667,-3.7206,3
50.9059,-3.3314,3
50.8804,0.2567,2
50.791,0.2472,2
50.8459,0.4499,3
51.0295,0.4661,3
50.8902,0.5409,3
50.8837,0.55,3
51.5856,0.4411,3
51.8927,0.8654,2
51.7582,0.0891,3
51.6449,0.7909,2
51.7689,0.2242,2
51.7722,0.1633,2
51.7501,0.134,3
51.8838,0.7967,3
51.9408,1.0899,3
51.8549,0.9135,3
51.6843,0.0483,3
51.9068,-2.087,3
51.867,-2.2413,3
50.8426,-1.3922,2
51.2604,-0.8456,3
50.9775,-1.3297,2
50.9253,-1.3296,3
51.0802,-1.2968,3
51.3456,-0.8164,3
50.8577,-1.0311,3
50.973,-1.3731,3
50.9307,-1.5042,3
51.6435,-0.3928,3
51.7508,-0.3397,2
51.7822,-0.4941,2
51.7155,-0.3729,3
51.801,-0.4708,3
51.7617,-0.2268,3
51.7019,-0.0468,3
51.3767,1.3031,2
51.3517,1.4072,2
51.2791,1.0867,3
51.0962,1.1793,3
51.1521,1.3517,3
51.3517,0.7067,3
51.2316,0.0685,3
51.4164,0.2253,3
51.1368,0.9151,3
51.1098,0.4937,3
51.1234,0.7156,3
53.5434,-2.7487,3
53.9595,-2.8129,3
53.9252,-3.0119,3
53.6927,-2.8729,2
53.6385,-2.5979,2
53.8249,-2.2342,3
53.9082,-2.3394,2
53.5768,-2.877,3
53.811,-2.2105,3
53.5651,-2.8817,2
53.707,-2.6395,3
53.6418,-2.6198,3
52.5384,-1.3617,3
52.7238,-1.4884,1
52.7637,-1.4731,3
