Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
10/01/2023;10:15;VIA DUCA DELLA VERDURA altezza del civico 93;0;C;38,135232;13,355914
10/01/2023;12:30;PIAZZA GIULIO CESARE di fronte STAZ. CENTRALE;1;F;38,110281;13,366759
10/01/2023;13:00;VIA FLORIO nr. 27 M;0;C;38,16316;13,326632
10/01/2023;14:45;VIA RE MANFREDI altezza del civico 35;0;C;38,113549;13,346646
10/01/2023;14:50;VIA PRINCIPE DI PATERNO' intersezione VIA SCIUTI GIUSEPPE;1;F;38,139049;13,339205
10/01/2023;20:00;VIALE NICOLETTI ROSARIO altezza 1;1;F;38,188986;13,296178
11/01/2023;01:05;VIA SELLA QUINTINO intersezione VIA DAITA GAETANO;0;C;38,127021;13,355177
11/01/2023;06:45;CORSO CALATAFIMI altezza del civico 1059;1;F;38,095143;13,3108
11/01/2023;09:00;VIA VILLAGRAZIA altezza del civico 201;1;F;38,089894;13,353248
11/01/2023;12:45;VIALE LEONARDO DA VINCI nr. 152/A;1;F;38,128224;13,328192
11/01/2023;14:20;VIA CUSMANO GIACOMO intersezione con VIA TURRISI COLONNA GIUSEPPINA;2;F;38,125569;13,34752
11/01/2023;15:50;VIA ALTOFONTE altezza del civico 183;0;C;38,089894;13,330618
11/01/2023;16:00;VIALE PERTINI SANDRO intersezione VIA PESCIA;0;C;38,175525;13,322765
11/01/2023;18:10;VIALE REGIONE SICILIANA S.E. di fronte pagliarelli;0;C;38,092051;13,341144
12/01/2023;07:30;PIAZZA BOIARDO MATTEO MARIA di fronte al civico 8;1;F;38,132974;13,342302
12/01/2023;10:45;VIA CALA altezza (spec.) P.tta Dogane;0;C;38,119848;13,370019
12/01/2023;14:30;VIA LA FARINA GIUSEPPE di fronte al civico 13c;1;F;38,128779;13,349228
12/01/2023;16:50;VIA TRINACRIA intersezione VIA VAL DI MAZARA;1;F;38,149167;13,338141
12/01/2023;19:40;VIA ORETO altezza (spec.) ponte oreto;0;C;38,102037;13,37033
13/01/2023;04:30;PIAZZA TURBA EUCLIDE GEN. intersezione VIA SCHIFANI VITO;0;C;38,101068;13,338312
13/01/2023;08:00;VIA FAZELLO TOMMASO altezza VIA M. LICO;1;F;38,108612;13,366674
13/01/2023;08:20;VIALE REGIONE SICILIANA N.O. altezza (spec.) Rotator Brasile;1;F;38,140492;13,331741
13/01/2023;08:20;VIA CASTELLO altezza (spec.) 29;1;F;38,120844;13,364606
13/01/2023;12:20;CORSO CALATAFIMI nr. 351;0;C;38,107044;13,340052
13/01/2023;13:15;PIAZZA TREDICI VITTIME intersezione VIA CAVOUR CAMILLO;1;F;38,122634;13,364339
13/01/2023;18:40;VIA MORELLO NUNZIO nr. 3;1;F;38,131146;13,34509
