la,lo,s,n
51.479,-0.0555,3,1
51.4932,-0.0468,3,1
51.4917,-0.098,3,1
51.4388,-0.0638,3,1
51.4736,-0.0931,2,1
51.4742,-0.0753,3,1
51.4491,-0.0853,3,1
51.3732,-0.164,3,1
51.5162,-0.0291,3,1
51.5223,-0.0182,3,1
51.523,-0.0186,3,1
51.5918,-0.005,3,1
51.5852,-0.0179,3,1
51.6095,0.001,2,1
51.5881,-0.0333,3,1
51.437,-0.1617,3,1
51.4462,-0.147,3,1
51.4571,-0.1656,3,1
51.4388,-0.1632,3,1
51.5143,-0.1839,3,1
51.5254,-0.2041,3,1
51.5099,-0.133,3,1
51.5201,-0.1689,2,1
51.4961,-0.1432,3,1
51.5108,-0.1339,3,1
52.4427,0.3753,3,1
52.088,0.1088,3,1
52.593,0.0598,3,1
52.6656,0.1542,3,1
54.1143,-3.2316,3,1
54.6605,-2.7586,2,1
54.8841,-2.9263,3,1
53.0841,-1.3734,2,1
53.1998,-1.3991,3,1
53.2434,-1.4877,2,1
53.4497,-1.9429,3,1
50.4568,-3.5915,3,1
51.0675,-3.9995,3,1
50.751,-3.9756,3,1
51.0587,-3.9914,3,1
50.7548,-3.3551,3,1
50.7191,-3.5379,3,1
50.7167,-3.4665,2,1
51.0055,-4.2086,3,1
50.9907,0.6049,3,1
50.8678,0.0245,3,1
50.7731,0.2866,3,1
50.9819,0.2688,3,1
50.8442,0.2417,3,1
51.7684,0.1613,3,1
51.6834,0.1077,3,1
51.6506,0.197,3,1
51.8865,-2.0802,2,1
51.8378,-2.2146,1,1
51.8264,-2.3883,2,1
51.9121,-2.2946,2,1
51.7202,-2.3468,2,1
50.9269,-1.808,3,1
51.2834,-1.071,3,1
50.8745,-1.2683,3,1
51.1147,-1.4984,3,1
50.8508,-0.9788,3,1
50.85,-0.9692,3,1
50.8757,-1.0116,3,1
51.6637,-0.5124,3,1
51.8024,-0.3719,3,1
51.7128,-0.3746,2,1
51.7643,-0.2293,2,1
51.7563,-0.4217,3,1
51.4255,0.379,3,1
51.3129,0.1861,3,1
51.151,0.4825,2,1
51.4072,0.8258,3,1
51.4353,0.1799,3,1
51.3673,0.2771,2,1
51.1168,0.4693,3,1
51.1295,0.2632,3,1
51.0948,1.056,1,1
53.7573,-2.3586,3,1
53.7529,-2.3758,3,1
54.1239,-2.7555,2,1
53.7575,-2.6917,3,1
53.768,-3.0489,2,1
53.9455,-2.3483,2,1
53.5658,-2.8837,3,1
53.9219,-2.1455,2,1
54.0612,-2.8535,3,1
52.7638,-0.9579,3,1
52.7778,-1.2034,3,1
52.7709,-1.2256,3,1
52.9921,-0.0586,3,1
52.8016,0.0809,3,1
52.9707,-0.7143,3,1
52.6164,1.2734,3,1
52.5677,1.0512,3,1
52.6782,1.5703,3,1
52.774,0.4411,3,1
52.2745,-0.7468,2,1
53.0692,-0.8358,3,1
53.0171,-1.3016,3,1
53.0038,-1.1036,3,1
53.035,-1.2497,3,1
53.2962,-1.0334,2,1
52.9521,-0.9585,2,1
52.9111,-0.9278,3,1
51.7324,-1.2333,3,1
51.8668,-1.4574,3,1
52.0665,-1.3519,3,1
53.0301,-2.2161,2,1
52.1877,0.9989,2,1
52.2447,0.697,3,1
52.1151,0.6498,3,1
52.044,1.116,2,1
52.2495,0.4724,3,1
51.1721,-0.1157,2,1
51.4449,-0.4764,3,1
51.2589,-0.1236,3,1
51.235,-0.8007,3,1
51.4001,-0.4318,3,1
51.284,-0.3391,2,1
51.3691,-0.4271,3,1
51.2957,-0.5539,3,1
51.3139,-0.5593,3,1
51.2419,-0.2983,3,1
51.2558,-0.3455,3,1
52.5284,-1.4374,3,1
50.8162,-0.377,3,1
50.8185,-0.4279,2,1
50.9867,-0.6111,3,1
51.072,-0.3096,3,1
52.3069,-1.9426,3,1
55.9965,-3.7549,3,1
56.7227,-5.2326,2,1
55.9382,-4.6992,3,1
55.6271,-4.6399,2,1
55.7819,-4.1684,3,1
56.5745,-2.5803,3,1
56.4978,-2.7175,2,1
56.483,-2.9124,3,1
56.1384,-3.211,2,1
56.3273,-2.7715,2,1
55.8656,-4.2647,2,1
55.8532,-4.2469,3,1
55.8456,-4.3576,3,1
53.1049,-3.9123,3,1
53.2795,-3.8264,3,1
53.2678,-3.9277,3,1
53.0468,-3.0069,3,1
53.0542,-3.0094,3,1
51.7388,-4.9733,3,1
51.8321,-4.1831,3,1
51.5294,-3.5316,3,1
51.4572,-3.2135,3,1
51.4665,-3.2713,3,1
51.4814,-3.1618,3,1
51.624,-2.7049,2,1
52.5714,-3.1753,3,1
53.3967,-2.6105,3,1
53.4079,-2.5965,3,1
53.7318,-2.4742,3,1
53.7677,-0.3277,2,1
53.751,-0.3581,3,1
53.7668,-0.289,3,1
53.7827,-0.3461,3,1
53.7469,-0.3132,3,1
53.7898,-0.4487,3,1
53.7036,-0.8718,3,1
53.5538,-0.0782,3,1
53.9342,-1.1179,3,1
52.9177,-1.5007,3,1
52.8898,-1.4678,2,1
52.9418,-1.4313,3,1
52.9431,-1.4764,3,1
52.9368,-1.4331,3,1
52.6376,-1.1306,2,1
52.0662,-2.7318,3,1
52.0601,-2.7053,2,1
52.1217,-3.1038,3,1
52.6987,-2.5159,3,1
51.397,-2.3415,2,1
51.3845,-2.3829,3,1
51.4597,-2.5507,3,1
51.4293,-2.6636,3,1
51.4494,-2.8407,3,1
50.3768,-4.1265,2,1
50.3693,-4.1628,3,1
50.4404,-3.5621,3,1
50.4784,-3.5219,3,1
50.4308,-3.5677,3,1
52.5855,-0.4166,3,1
52.5863,-0.2257,2,1
52.5835,-0.2248,3,1
