procom,dzcom,pop_2018,var_perc,ivsm,agmax_50,e31_pct,a7,a7_pct,persone_per_abitazione,erecq_txt
092068,Selargius,28986,1.1975002618440806,99.64285244582348,0.05,2.665,1211,9.94,2.379,entro il 2000
092074,Sestu,20958,5.321875471129203,98.99423269544471,0.05,1.069,631,7.459,2.477,entro il 2000
092075,Settimo San Pietro,6760,3.3955338023860504,100.21237871334264,0.05,1.876,185,7.286,2.662,entro il 2000
092080,Sinnai,17562,5.111323916686617,100.13035363672456,0.05,0.668,2592,30.115,2.04,entro il 1990
092090,Uta,8696,10.229433388262137,100.07371429707986,0.05,1.418,349,10.906,2.717,entro il 2000
092099,Villa San Pietro,2138,5.841584158415842,99.57990004887107,0.05,0.75,170,17.635,2.218,entro il 2000
091001,Aritzo,1274,-4.925373134328359,98.99213172081002,0.05,2.56,309,36.655,1.511,entro il 1980
091002,Arzana,2430,-2.527075812274368,100.2291587153667,0.05,0.982,483,33.919,1.706,entro il 1990
091003,Atzara,1123,-7.41962077493817,97.32283343022216,0.05,0.529,250,32.68,1.468,entro il 1990
091004,Austis,810,-7.003444316877153,102.88555978489781,0.05,2.083,218,36.333,1.35,entro il 1990
091005,Bari Sardo,3993,1.3451776649746192,98.9622632990241,0.05,2.176,1147,39.785,1.385,entro il 1990
091006,Baunei,3602,-3.2760472610096674,97.27048546498948,0.05,4.215,1401,47.54,1.222,entro il 1990
091007,Belvì,596,-10.37593984962406,96.6987332489801,0.05,0.0,690,72.327,0.625,entro il 1990
091008,Birori,529,-5.704099821746881,99.3052641928221,0.05,0.0,81,26.299,1.718,entro il 1990
091009,Bitti,2809,-6.863395225464192,98.67832546422906,0.05,1.341,590,31.085,1.48,entro il 1980
091010,Bolotana,2579,-9.158154279675943,98.77224343197489,0.05,0.576,513,30.409,1.529,entro il 1980
091011,Borore,2079,-4.720439963336388,97.47923430112377,0.05,0.0,286,23.933,1.74,entro il 1990
091012,Bortigali,1335,-5.853314527503526,98.23503944375884,0.05,2.615,264,30.206,1.527,entro il 1970
091103,Cardedu,1928,6.3430777716492,97.74169670604176,0.05,0.239,1242,59.256,0.92,entro il 2000
091016,Desulo,2310,-6.36400486420754,101.28917061739809,0.05,2.531,1185,52.203,1.018,entro il 1980
091017,Dorgali,8596,0.903861955628595,99.7220318626436,0.05,0.973,2251,40.838,1.56,entro il 1990
091018,Dualchi,613,-8.233532934131736,100.22316545650891,0.05,0.25,132,32.039,1.488,entro il 1970
091019,Elini,562,1.8115942028985508,99.6612202652852,0.05,0.435,55,21.318,2.178,entro il 1980
091024,Fonni,3892,-3.8775006174364037,99.70477181729981,0.05,1.861,674,30.374,1.754,entro il 1980
091025,Gadoni,781,-13.028953229398663,96.44043001160803,0.05,2.309,190,33.392,1.373,entro il 1990
091026,Gairo,1412,-6.551952349437459,97.43218211069461,0.05,0.496,211,22.375,1.497,entro il 1970
091027,Galtellì,2440,-1.4539579967689822,99.01852995671581,0.05,0.111,270,22.37,2.022,entro il 1990
091028,Gavoi,2641,-5.068296189791517,99.41990367232626,0.05,0.21,266,18.614,1.848,entro il 1990
091031,Girasole,1308,7.742998352553541,98.17999642952203,0.05,0.0,433,47.898,1.447,entro il 2000
091032,Ilbono,2189,-0.6354970494779846,97.74237589904293,0.05,3.118,233,20.766,1.951,entro il 2000
091033,Irgoli,2303,-2.083333333333333,98.67313507941137,0.05,0.105,213,18.426,1.992,entro il 1990
091035,Jerzu,3177,-1.457816377171216,98.41041077579746,0.05,3.357,1065,42.634,1.272,entro il 1990
091037,Lanusei,5387,-1.804593510754648,99.39199711038167,0.05,0.205,892,28.942,1.748,entro il 1980
091038,Lei,499,-11.209964412811388,97.32174971718362,0.05,0.322,350,59.829,0.853,entro il 1990
091039,Loceri,1298,1.8838304552590266,97.68599121992966,0.05,0.0,316,36.28,1.49,entro il 1980
091040,Loculi,517,-0.9578544061302682,100.4649575326612,0.05,0.0,38,16.45,2.238,entro il 1990
091041,Lodè,1661,-12.209302325581394,98.20653863084765,0.05,0.0,195,18.276,1.557,entro il 1990
091104,Lodine,331,-6.760563380281689,99.4392874469177,0.05,0.794,49,27.374,1.849,entro il 1990
091042,Lotzorai,2157,0.0,98.6021993873098,0.05,0.0,464,33.993,1.58,entro il 2000
091043,Lula,1384,-7.733333333333333,99.14306050667902,0.05,0.0,230,26.107,1.571,entro il 1980
091044,Macomer,10019,-4.353221957040573,98.65603383107639,0.05,2.709,797,16.252,2.043,entro il 1990
091046,Mamoiada,2523,-1.7140631086871836,101.14279021825492,0.05,2.009,184,16.098,2.207,entro il 1990
091047,Meana Sardo,1778,-6.813417190775681,99.70329525521608,0.05,0.117,320,28.144,1.564,entro il 1990
091050,Noragugume,309,-9.117647058823529,100.14567926699294,0.05,3.922,73,32.589,1.379,entro il 1990
091051,Nuoro,36579,-0.15285928756653475,99.69339168884541,0.05,0.81,1552,9.767,2.302,entro il 1990
091055,Oliena,7018,-4.633781763826607,100.17355735646268,0.05,2.133,555,16.926,2.14,entro il 1990
091056,Ollolai,1283,-6.622998544395925,99.29717615793888,0.05,3.161,203,25.439,1.608,entro il 1980
091057,Olzai,873,-3.107658157602664,98.13990642391362,0.05,3.194,176,29.73,1.475,entro il 1980
091058,Onanì,380,-10.7981220657277,97.9495065850603,0.05,7.812,68,29.694,1.659,entro il 1980
091059,Onifai,717,-3.3692722371967654,101.0869014979106,0.05,0.287,84,22.105,1.887,entro il 1990
091060,Oniferi,898,-2.49728555917481,99.54403617337022,0.05,0.0,51,12.846,2.262,entro il 1980
091061,Orani,2865,-4.372496662216288,97.70785523881915,0.05,0.464,235,16.931,2.064,entro il 1990
091062,Orgosolo,4176,-4.066161268090972,102.15623891801319,0.05,1.071,283,15.021,2.217,entro il 1990
091063,Orosei,7049,3.570379077284749,100.40627732348888,0.05,0.508,3183,53.406,1.183,entro il 1990
091064,Orotelli,2017,-6.533827618164969,99.21784336401626,0.05,0.0,135,13.832,2.067,entro il 1990
091066,Ortueri,1135,-9.705648369132856,98.7697320549776,0.05,3.209,320,37.559,1.332,entro il 1980
091067,Orune,2320,-9.197651663405088,98.52366258899272,0.05,0.104,112,9.597,1.988,entro il 1970
091068,Osidda,247,6.926406926406926,102.70673455348252,0.05,4.38,81,44.022,1.342,entro il 1970
091069,Osini,776,-4.785276073619632,100.09765305517878,0.05,1.333,186,31.419,1.311,entro il 1980
091070,Ottana,2303,-3.0723905723905722,97.8939149237409,0.05,0.246,164,14.669,2.06,entro il 1990
091071,Ovodda,1610,-0.8009858287122612,97.87197235080508,0.05,0.0,189,19.916,1.697,entro il 1980
091072,Perdasdefogu,1881,-7.884427032321254,98.23790535925068,0.05,3.901,285,24.783,1.636,entro il 1990
091073,Posada,2974,8.977647489923049,99.99875127402379,0.05,0.254,1640,57.383,1.041,entro il 2000
091077,Sarule,1679,-4.548038658328596,100.15456457873269,0.05,0.996,250,25.853,1.736,entro il 1980
091083,Silanus,2109,-4.005461993627675,99.69731539301073,0.05,4.804,267,24.185,1.91,entro il 1990
091084,Sindia,1701,-5.657237936772046,96.50220356652753,0.05,1.434,390,34.121,1.488,entro il 1980
091085,Siniscola,11531,0.38304169931226606,100.3307008963306,0.05,2.269,3167,39.273,1.43,entro il 1990
091086,Sorgono,1657,-5.7451649601820245,98.81636115386782,0.05,7.16,337,32.156,1.581,entro il 1980
091088,Talana,1013,-5.149812734082397,100.25987235986518,0.05,1.683,117,19.631,1.7,entro il 1990
091089,Tertenia,3927,2.989771833202203,98.27678322689457,0.05,1.912,1867,52.341,1.101,entro il 2000
091090,Teti,670,-2.898550724637681,98.380095078739,0.05,3.933,177,37.263,1.411,entro il 1980
091091,Tiana,487,-6.704980842911877,99.57298321363454,0.05,0.946,203,46.347,1.112,entro il 1980
091093,Tonara,2020,-4.310753197536712,96.9366864739767,0.05,0.975,621,39.757,1.293,entro il 1990
091094,Torpè,2844,-1.8294787711425613,101.80191974317202,0.05,1.87,477,29.085,1.734,entro il 2000
091095,Tortolì,11081,2.992843201040989,99.7713523053104,0.05,1.974,2414,35.287,1.62,entro il 2000
091097,Triei,1132,0.5328596802841918,99.01956484041156,0.05,1.811,195,29.954,1.739,entro il 1990
091098,Ulassai,1448,-4.296100462656973,98.41105985200409,0.05,3.121,297,28.152,1.373,entro il 1970
091099,Urzulei,1215,-5.886909372579396,103.53669980367724,0.05,0.0,149,22.679,1.849,entro il 1980
091100,Ussassai,556,-7.79436152570481,97.96111787148605,0.05,5.581,193,38.6,1.112,entro il 1980
091101,Villagrande Strisaili,3186,-5.5440260895345395,99.91110623249291,0.05,1.073,406,23.701,1.86,entro il 2000
095001,Abbasanta,2689,-4.982332155477032,98.72569303058074,0.05,1.761,405,26.875,1.784,entro il 2000
095002,Aidomaggiore,442,-5.756929637526652,100.60577641144835,0.05,0.0,141,40.171,1.259,entro il 1990
095003,Albagiara,254,-7.2992700729927,95.92607261563325,0.05,0.629,53,31.737,1.521,entro il 1980
095004,Ales,1410,-6.684315023163467,99.39437317550804,0.05,0.0,163,21.704,1.877,entro il 1990
095005,Allai,363,-1.358695652173913,95.3249227571737,0.05,2.083,185,52.707,1.034,entro il 1980
095006,Arborea,3906,-3.2928942807625647,97.81670492211323,0.05,0.25,110,7.157,2.541,entro il 2000
095007,Ardauli,852,-9.554140127388536,97.5906685032225,0.05,0.0,288,39.344,1.164,entro il 1980
095008,Assolo,376,-12.962962962962962,101.84481765017856,0.05,2.597,61,25.957,1.6,entro il 1980
095009,Asuni,345,-3.6312849162011176,100.54591607490597,0.05,0.0,60,28.169,1.62,entro il 1970
095010,Baradili,83,-7.777777777777778,95.47790997155286,0.05,1.613,23,35.938,1.297,entro il 1980
095011,Baratili San Pietro,1312,-1.2791572610985704,98.95408493501134,0.05,1.748,96,15.335,2.096,entro il 1990
095012,Baressa,642,-10.584958217270195,101.26955915907551,0.05,1.99,94,23.267,1.589,entro il 1980
095013,Bauladu,677,-4.107648725212465,99.39298127343285,0.05,3.729,86,23.562,1.855,entro il 1990
095014,Bidonì,143,-2.7210884353741496,104.54060280615728,0.05,1.124,110,63.218,0.822,entro il 2000
095015,Bonarcado,1587,-2.3985239852398523,99.90443513409957,0.05,4.433,185,22.316,1.914,entro il 1990
095016,Boroneddu,153,-4.968944099378882,93.86904347701197,0.05,2.062,46,38.983,1.297,entro il 1980
095079,Bosa,7927,-1.1102794411177646,99.9293439019305,0.05,0.739,2288,41.367,1.433,entro il 1990
095017,Busachi,1274,-7.142857142857142,98.3137071391608,0.05,3.684,420,42.77,1.297,entro il 1990
095018,Cabras,9278,2.6781761841522798,98.02519282160057,0.05,1.342,1387,28.86,1.931,entro il 1990
095019,Cuglieri,2649,-5.628785179907374,97.2140135067664,0.05,2.031,2016,61.054,0.802,entro il 1990
095077,Curcuris,301,-4.140127388535031,95.5637432743391,0.05,1.212,61,32.447,1.601,entro il 1990
095080,Flussio,433,-4.6255506607929515,96.67120201501363,0.05,3.435,71,25.357,1.546,entro il 1980
095020,Fordongianus,878,-6.196581196581197,97.85187561629225,0.05,2.31,355,45.925,1.136,entro il 1990
095021,Ghilarza,4452,-3.469210754553339,98.87907699884867,0.05,0.882,700,27.429,1.745,entro il 1990
095022,Gonnoscodina,469,-7.312252964426877,95.25453989011184,0.05,4.0,66,25.581,1.818,entro il 1990
095023,Gonnosnò,759,-4.408060453400504,96.12699758896281,0.05,0.767,90,21.327,1.799,entro il 1980
095024,Gonnostramatza,879,-6.588735387885228,101.46848696648108,0.05,0.533,78,18.097,2.039,entro il 1990
095082,Laconi,1855,-7.388916625062407,95.56299698110291,0.05,3.858,372,30.567,1.524,entro il 1980
095083,Magomadas,655,2.503912363067293,96.5457766226534,0.05,0.0,475,58.282,0.804,entro il 1990
095025,Marrubiu,4819,-1.833367284579344,99.38477782112894,0.05,1.386,328,14.991,2.202,entro il 1990
095026,Masullas,1061,-5.772646536412078,100.6798193521666,0.05,0.0,98,18.352,1.987,entro il 1990
095027,Milis,1513,-4.542586750788644,97.63035962063941,0.05,1.343,167,22.119,2.004,entro il 2000
095084,Modolo,163,-0.6097560975609756,98.71658072243179,0.05,0.495,127,59.624,0.765,entro il 1980
095028,Mogorella,449,-3.2327586206896552,97.56042751352614,0.05,0.87,72,28.346,1.768,entro il 1990
095029,Mogoro,4118,-5.485425751663989,99.27545049381786,0.05,3.012,328,16.557,2.079,entro il 1990
095085,Montresta,470,-11.487758945386064,99.00470651235679,0.05,2.486,151,38.619,1.202,entro il 1980
095030,Morgongiori,716,-7.373868046571798,98.06922442737704,0.05,7.568,86,20.574,1.713,entro il 1990
095031,Narbolia,1783,-1.0543840177580466,99.16075654011364,0.05,0.483,403,35.918,1.589,entro il 1990
095032,Neoneli,679,-4.634831460674158,98.34051012025697,0.05,2.791,129,28.859,1.519,entro il 1970
095033,Norbello,1307,10.668924640135478,98.17594519805847,0.05,0.523,200,30.211,1.974,entro il 1990
095034,Nughedu Santa Vittoria,475,-6.126482213438735,96.81239472398022,0.05,3.915,108,30.769,1.353,entro il 1990
