la,lo,s,n
54.5245,-1.5492,3,1
54.6035,-1.6253,3,1
53.4304,-2.6473,3,1
53.3927,-2.5972,3,1
53.3924,-2.585,3,1
53.8695,-3.0435,3,1
53.7899,-0.3089,2,1
53.766,-0.3906,3,1
53.754,-0.3131,3,1
53.7623,-0.455,3,1
53.778,-0.643,3,1
53.732,-0.1391,3,1
54.0918,-0.178,3,1
53.5165,-0.1189,3,1
53.5536,-0.0781,3,1
53.575,-0.0801,3,1
53.5898,-0.2072,3,1
53.5442,-0.647,3,1
53.565,-0.6763,3,1
53.9638,-1.0873,3,1
52.9201,-1.467,3,1
52.9258,-1.4682,3,1
52.9055,-1.4493,2,1
52.8877,-1.4988,3,1
52.6335,-1.1229,3,1
52.654,-1.1194,3,1
52.6268,-1.155,2,1
52.9722,-1.1797,3,1
52.9926,-1.1517,2,1
52.0352,-2.5691,3,1
52.0429,-2.7332,3,1
52.1995,-3.0017,3,1
52.6995,-2.5209,3,1
52.987,-2.1607,3,1
53.0511,-2.1997,3,1
52.9858,-2.1348,3,1
51.4717,-2.6154,3,1
51.3644,-2.857,3,1
51.5278,-2.433,3,1
50.4089,-4.1343,2,1
51.5626,-1.8263,3,1
51.5413,-1.7225,3,1
52.6132,-0.1759,2,1
51.9059,-0.473,3,1
51.5569,0.6812,3,1
51.378,0.5467,3,1
51.3731,-1.0386,3,1
51.4753,-1.5262,3,1
51.4559,-0.6544,2,1
50.839,-0.2225,2,1
50.8031,-1.0713,2,1
50.8466,-1.0411,3,1
50.9182,-1.3737,3,1
50.8964,-1.3802,3,1
50.9157,-1.4021,3,1
50.6756,-1.2831,2,1
54.8532,-1.7486,3,1
53.121,-2.3786,3,1
53.2608,-2.2042,3,1
53.0735,-2.4608,3,1
53.1951,-2.8434,3,1
53.2452,-2.4704,3,1
52.6828,-2.756,3,1
52.4429,-2.8357,3,1
52.6776,-2.3664,3,1
50.3618,-4.7163,3,1
50.1999,-5.124,3,1
50.4998,-4.6826,2,1
50.1265,-5.5292,3,1
50.2342,-5.2251,3,1
51.2068,-2.1736,3,1
51.3543,-1.6789,3,1
52.1052,-0.4949,3,1
52.1225,-0.2336,3,1
55.4241,-1.6726,3,1
